drug_fertility,firearm_fertility,median,lower95,upper95
1.2,1.25,1454272.6610938185,1432344.9484063943,1476562.2918799766
1.25,0.75,1275487.6113461028,1253741.7210833782,1295738.907507123
1.25,0.8,1296854.149025661,1275469.909188244,1317467.3775794287
1.25,0.85,1319133.495154627,1297232.4032990264,1338939.1861676478
1.25,0.9,1340760.9917334386,1317333.1819025462,1361581.2132473134
1.25,0.95,1361684.1609623986,1341168.676959319,1384074.341202999
1.25,1,1383886.6041212606,1360689.037290385,1406083.9969621035
1.25,1.05,1405206.8283089853,1382345.466979797,1426408.7509612867
1.25,1.1,1427109.5840721703,1405340.4697431093,1449780.303246234
1.25,1.15,1448861.867673417,1426293.5764123723,1471282.5251647325
1.25,1.2,1470445.321629797,1447293.6177808582,1493086.5610495214
1.25,1.25,1491512.5581241623,1470173.370401128,1514839.4336969426
